DTG,Baseline,Charge,Discharge - Partial,Discharge - Full,SOC,E-Rate,lambda Charge,lambda Discharge Part,lambda Discharge Full,Chiller Power base,Chiller Power Opt
1/1/2006 0:00,73.59,0,0,0,0,0.063,0.319,0,0.33496399,24.65,24.65
1/1/2006 1:00,75.13,0,0,0,0,0.06305,0.319,0,0.3350193,25.17,25.17
1/1/2006 2:00,75.74,0,0,0,0,0.0631,0.319,0,0.334961711,25.37,25.37
1/1/2006 3:00,136.85,0,0,0,0,0.06315,0.319,0,0.33496529,45.84,45.84
1/1/2006 4:00,169.86,0,0,0,0,0.0632,0.32,0,0.33498175,56.9,56.9
1/1/2006 5:00,183.07,0,0,0,0,0.06325,0.32,0,0.334953843,61.32,61.32
1/1/2006 6:00,218.53,0,0,0,0,0.0633,0.32,0,0.335011211,73.21,73.21
1/1/2006 7:00,327.17,0,0,0,0,0.06335,0.321,0,0.33499404,109.6,109.6
1/1/2006 8:00,298.66,0,0,0,0,0.0634,0.321,0,0.334996317,100.05,100.05
1/1/2006 9:00,314.34,0,0,0,0,0.06345,0.321,0,0.334987593,105.3,105.3
1/1/2006 10:00,335.15,0,0,0,0,0.0635,0.321,0,0.334984335,112.27,112.27
1/1/2006 11:00,334.07,0,0,0,0,0.06355,0.273,0,0.627173946,209.52,209.52
1/1/2006 12:00,328.71,0,0,0,0,0.0636,0.274,0,0.625505765,205.61,205.61
1/1/2006 13:00,331.43,0,0,0,0,0.06365,0.276,0,0.610294783,202.27,202.27
1/1/2006 14:00,309.18,0,0,0,0,0.0637,0.321,0,0.334982858,103.57,103.57
1/1/2006 15:00,300.06,0,0,0,0,0.06375,0.321,0,0.334999667,100.52,100.52
1/1/2006 16:00,322.23,0,0,0,0,0.0638,0.275,0,0.62613661,201.76,201.76
1/1/2006 17:00,310.58,0,0,0,0,0.06385,0.321,0,0.334986155,104.04,104.04
1/1/2006 18:00,271.24,0,0,0,0,0.0639,0.321,0,0.334980091,90.86,90.86
1/1/2006 19:00,249.6,0,0,0,0,0.06395,0.32,0,0.334975962,83.61,83.61
1/1/2006 20:00,210.49,0,0,0,0,0.064,0.32,0,0.334980284,70.51,70.51
1/1/2006 21:00,197.78,0,0,0,0,0.06405,0.32,0,0.334968146,66.25,66.25
